id,language_id,en,ru,accent,level,frequency_rank,rarity,register,ipa_uk,ipa_us,example,example_ru
1,1,hello,привет,both,A0,2399,не редкое,разговорная,/hello/,/hello/,Hello!,Привет!
2,1,hi,привет,both,A0,1182,не редкое,разговорная,/hi/,/hi/,Hi!,Привет!
3,1,bye,пока,both,A0,8425,очень редкое,разговорная,/bye/,/bye/,Bye!,Пока!
4,1,goodbye,до свидания,both,A0,15000,очень редкое,разговорная,/goodbye/,/goodbye/,Goodbye!,До свидания!
5,1,please,пожалуйста,both,A0,145,не редкое,разговорная,/please/,/please/,Please help me.,"Пожалуйста, помоги мне."
6,1,thanks,спасибо,both,A0,873,не редкое,разговорная,/thanks/,/thanks/,Thanks a lot.,Большое спасибо.
7,1,thank you,спасибо,both,A0,1281,не редкое,разговорная,/thank you/,/thank you/,Thank you.,Спасибо.
8,1,sorry,извините,both,A0,2243,не редкое,разговорная,/sorry/,/sorry/,"Sorry, I am late.","Извини, я опоздал."
9,1,yes,да,both,A0,483,не редкое,разговорная,/yes/,/yes/,"Yes, please.","Да, пожалуйста."
10,1,no,нет,both,A0,48,не редкое,разговорная,/no/,/no/,"No, thanks.","Нет, спасибо."
11,1,ok,хорошо,both,A0,1157,не редкое,разговорная,/ok/,/ok/,"OK, I understand.","ОК, я понимаю."
12,1,good,хорошо,both,A0,155,не редкое,разговорная,/good/,/good/,It is good.,Это хорошо.
13,1,bad,плохо,both,A0,837,не редкое,разговорная,/bad/,/bad/,It is bad.,Это плохо.
14,1,morning,утро,both,A0,1536,не редкое,разговорная,/morning/,/morning/,Good morning!,Доброе утро!
15,1,evening,вечер,both,A0,2357,не редкое,разговорная,/evening/,/evening/,Good evening!,Добрый вечер!
16,1,night,ночь,both,A0,593,не редкое,разговорная,/night/,/night/,Good night!,Спокойной ночи!
17,1,today,сегодня,both,A0,283,не редкое,разговорная,/today/,/today/,Today is Monday.,Сегодня понедельник.
18,1,tomorrow,завтра,both,A0,3532,редкое,разговорная,/tomorrow/,/tomorrow/,See you tomorrow.,Увидимся завтра.
19,1,yesterday,вчера,both,A0,2306,не редкое,разговорная,/yesterday/,/yesterday/,Yesterday was busy.,Вчера было много дел.
20,1,name,имя,both,A0,108,не редкое,разговорная,/name/,/name/,My name is Mike.,Меня зовут Майк.
21,1,my,мой,both,A0,39,не редкое,разговорная,/my/,/my/,This is my phone.,Это мой телефон.
22,1,your,твой,both,A0,24,не редкое,разговорная,/your/,/your/,Is this your bag?,Это твоя сумка?
23,1,i,я,both,A0,14,не редкое,разговорная,/i/,/i/,I am here.,Я здесь.
24,1,you,ты,both,A0,15,не редкое,разговорная,/you/,/you/,You are my friend.,Ты мой друг.
25,1,we,мы,both,A0,31,не редкое,разговорная,/we/,/we/,We are ready.,Мы готовы.
26,1,they,они,both,A0,51,не редкое,разговорная,/they/,/they/,They are at home.,Они дома.
27,1,this,это,both,A0,12,не редкое,разговорная,/this/,/this/,This is my book.,Это моя книга.
28,1,that,то,both,A0,10,не редкое,разговорная,/that/,/that/,That is my car.,То моя машина.
29,1,here,здесь,both,A0,70,не редкое,разговорная,/here/,/here/,Come here.,Иди сюда.
30,1,there,там,both,A0,63,не редкое,разговорная,/there/,/there/,He is there.,Он там.
31,1,who,кто,both,A0,72,не редкое,разговорная,/who/,/who/,Who are you?,Кто ты?
32,1,what,что,both,A0,56,не редкое,разговорная,/what/,/what/,What is this?,Что это?
33,1,where,где,both,A0,159,не редкое,разговорная,/where/,/where/,Where is the bus?,Где автобус?
34,1,when,когда,both,A0,68,не редкое,разговорная,/when/,/when/,When is dinner?,Когда ужин?
35,1,why,почему,both,A0,384,не редкое,разговорная,/why/,/why/,Why are you sad?,Почему ты грустный?
36,1,how,как,both,A0,87,не редкое,разговорная,/how/,/how/,How are you?,Как ты?
37,1,one,один,both,A0,45,не редкое,разговорная,/one/,/one/,I have one apple.,У меня одно яблоко.
38,1,two,два,both,A0,116,не редкое,разговорная,/two/,/two/,I have two apples.,У меня два яблока.
39,1,three,три,both,A0,313,не редкое,разговорная,/three/,/three/,Three people are here.,Три человека здесь.
40,1,four,четыре,both,A0,599,не редкое,разговорная,/four/,/four/,Four dogs.,Четыре собаки.
41,1,five,пять,both,A0,761,не редкое,официальная,/five/,/five/,"Five minutes, please.","Пять минут, пожалуйста."
42,1,water,вода,both,A0,333,не редкое,разговорная,/water/,/water/,I need water.,Мне нужна вода.
43,1,food,еда,both,A0,417,не редкое,разговорная,/food/,/food/,The food is good.,Еда вкусная.
44,1,house,дом,both,A0,296,не редкое,разговорная,/house/,/house/,This is my house.,Это мой дом.
